county,year,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
TELEORMAN,2017,408892,406406,807624,35,113777,7266,423773,10613,24935,307,1749,0,0,161232,174459,1200,24006,995,20078,3617,15489,3471,3940,1169,3176,13387,598,757,92402,100345,40318,40278,40,948,511,2323,1282,429,323,653
DOLJ,2017,478872,478378,894001,6631,135684,10211,584754,24981,23073,468,6512,0,738,79166,234064,2177,40894,862,36203,5210,131205,4013,8198,2638,3074,10815,3090,2019,56842,178543,75224,74443,781,1515,815,5270,936,1463,125,418
GORJ,2017,79850,79850,43394,45,2764,4973,326947,9775,371,273,38192,0,5426,0,547,0,18291,0,8629,3187,0,1942,2753,5659,837,10756,473,13459,210,69758,20470,20470,0,3869,1219,20759,1299,1612,231,1315
MEHEDINTI,2017,143595,143423,218627,658,20298,8792,334067,5984,12879,793,9223,0,287,24482,51774,46,21613,1032,6222,2315,23708,917,1633,1513,1800,10411,947,1518,66,47941,33871,33302,569,14317,2042,27168,1148,2578,326,1493
OLT,2017,364933,364882,719515,0,54241,11022,585431,20737,10220,419,15114,0,0,56831,176729,3348,36227,2353,36171,9020,34841,10303,14215,2554,2706,7630,1399,865,24989,147551,26879,26646,233,3997,1054,24599,3196,1641,328,1058
VALCEA,2017,66273,66273,41233,0,1630,5273,245578,2049,1,110,47794,0,560,1951,3158,60,20032,388,13974,2915,119,3029,7226,2655,1078,9706,111,648,3909,86819,28240,27437,803,14756,1872,43165,997,1328,156,2231
ARAD,2017,326067,325303,340468,40,49477,67498,679415,28210,2893,78,12815,122949,2684,71253,119415,9326,51390,4292,47082,11338,19612,7430,13480,12939,3575,17350,2028,2609,55863,258694,12317,11199,1118,2759,484,5508,198,847,551,1050
CARAS_SEVERIN,2017,76769,76769,68746,252,6223,924,71260,4340,0,13,80260,0,36,11014,9232,3471,3732,17,4838,902,0,618,1161,2399,444,3935,212,272,19997,166870,4114,4114,0,7468,894,17700,341,956,357,1342
HUNEDOARA,2017,47424,47419,33087,6,1819,155,71948,1122,69,39,93100,494,22163,516,678,490,16142,553,6418,3059,0,1717,3558,4183,1591,8503,217,1950,20706,132179,0,0,0,6934,1248,18566,233,866,263,1476
TIMIS,2017,501424,501270,686736,0,75005,10083,871372,18274,1559,50,19730,55879,4161,80316,161889,40364,56560,8872,22183,7762,21509,6299,9937,8938,1946,14322,830,1730,47460,533962,22513,21710,803,4056,962,9859,1576,1146,1975,1149
BIHOR,2018,304377,302368,335385,1222,83677,30154,664586,1513,733,555,73422,85853,72961,22368,47964,15411,18391,5533,13073,4770,15365,5301,5001,5194,1021,4045,1181,2573,259632,814637,11332,10993,339,15721,1772,19493,1905,1869,6663,1747
BISTRITA_NASAUD,2018,60591,60591,12277,7,8166,8344,106695,1349,0,6,72240,1766,9335,0,778,88,13326,128,4920,1094,0,1223,975,2770,564,3637,8,586,133377,267006,1685,1631,54,31709,1048,13344,24,1770,11,1248
CLUJ,2018,118035,117654,44843,165,42946,12348,336034,4526,663,805,122466,47874,8666,3879,11749,6110,32718,1423,16464,6051,751,1376,2328,11365,1449,10235,515,4550,165950,287292,1246,1242,4,9545,1404,14229,286,555,89,766
MARAMURES,2018,66888,66888,14841,32,2306,7258,116240,9611,0,257,173984,23,4276,38,2288,1,8601,106,3404,1312,0,899,1474,1978,786,2346,13,481,26264,436005,1345,1345,0,47661,2260,18364,38,2618,103,3988
SATU_MARE,2018,206483,206385,186370,406,22635,13950,592892,37063,893,231,31117,549,5401,47870,70598,24329,36030,2737,14285,7501,3953,6872,3917,4894,711,2510,518,1834,139529,252864,16240,16181,59,11534,1471,32226,564,3714,679,1888
SALAJ,2018,73936,73869,24457,2,6332,11717,137201,9728,184,6,94166,0,42335,824,7566,1845,10843,598,6852,2573,0,1267,2728,5664,1114,6087,232,1054,52801,328402,13977,13882,95,22767,1653,47801,637,1205,311,1841
ALBA,2018,121768,121735,76653,0,15073,4820,326064,13061,105,61,47131,21572,36251,6931,14965,1677,23142,290,22236,3914,121,2603,4388,13060,2043,14563,102,1778,177928,394085,44245,44245,0,14993,2135,14390,751,1561,1097,1942
BRASOV,2018,70057,69396,33960,1016,16278,1900,56310,8878,1220,2,118382,83940,4906,6083,241,3645,3841,36,989,205,0,39,48,1132,34,2309,12,141,197530,418777,59,5,54,5085,651,4831,246,263,3,93
COVASNA,2018,84361,84355,99463,2097,20448,3014,76113,5546,284,113,279006,84933,16839,5554,896,1122,24043,14,1295,565,0,9,15,2746,178,13149,58,98,140050,244690,0,0,0,4260,150,5076,2,569,1,794
HARGHITA,2018,53325,53315,33676,1910,16215,8862,16541,4980,0,0,193823,4074,6012,43,0,0,6469,0,368,31,0,0,44,2616,20,2016,8,5,89125,241901,0,0,0,6148,380,3492,0,266,8,244
MURES,2018,187788,187788,120595,338,27146,13649,521379,10994,465,227,97269,150382,0,10659,21146,14980,26459,1413,18446,6056,3096,3557,6742,12279,1785,16085,705,1710,247801,810654,4366,4366,0,31972,1344,12074,183,1968,157,1811
SIBIU,2018,68567,68567,20520,138,4283,2178,150754,5621,227,61,60098,22527,4796,999,1479,896,17364,474,4361,2935,0,703,1249,4001,484,5040,171,500,110681,360876,685,678,7,10856,543,5051,45,524,49,274
BACAU,2018,151452,151444,70425,42,9333,4413,572482,237,840,222,42348,3473,114080,9613,27792,1604,20602,485,15905,2081,1024,1780,6884,5098,1591,13158,24,1436,104925,368062,28985,28961,24,8042,756,9242,534,2764,322,1870
BOTOSANI,2018,269855,269544,117290,973,14180,20705,772097,590,1843,3104,132089,34169,3846,13500,114984,51174,28213,915,16878,4651,19699,2567,6582,6369,3471,9399,451,2978,223879,402750,12122,12014,108,14617,1698,8789,798,5948,112,1593
IASI,2018,226674,226328,142498,345,13534,9514,590948,2253,2944,1741,69891,116430,15303,23963,60086,10917,32627,2283,30121,5200,32741,3106,7996,10183,1707,14601,681,3066,68472,360310,71774,70159,1615,14997,2136,13875,1881,10321,22,2059
NEAMT,2018,155494,155494,98549,1615,23082,11288,467831,8433,1025,332,96897,153893,18354,24173,43616,9787,17955,520,9665,2685,666,1693,3728,4332,1275,7498,211,1528,44647,342424,3447,3447,0,15138,916,9729,218,2771,13,1227
SUCEAVA,2018,192743,191558,94329,6460,15947,13275,299892,7521,2011,1372,391317,17382,13330,6871,13050,8175,72300,1265,15880,9692,1481,4202,8147,9855,4987,26850,351,1246,225703,928932,0,0,0,37003,2997,11974,52,1927,0,1836
VASLUI,2018,211418,211403,139820,538,20218,5476,504729,455,1068,542,11986,5060,53878,25520,148580,522,20302,345,12364,2156,11237,1394,4501,1972,1724,6427,361,1734,57265,171009,90162,87945,2217,8664,910,5592,714,3270,90,1099
BRAILA,2018,372481,367930,383338,279,158658,3750,877282,1123,17889,722,923,22924,5891,62989,252635,85040,2241,20,4412,311,49879,1200,5545,1835,45,2219,36,28,22079,326763,15532,14548,984,1305,396,5239,1574,1286,288,767
BUZAU,2018,268699,268679,290396,16,42318,3499,862867,4584,2801,513,12504,0,0,94119,105491,3881,17362,686,26113,4144,38101,1830,4834,1287,1736,6019,95,421,16989,233674,98896,93125,5771,17581,2508,43989,1376,3264,1001,2308
CONSTANTA,2018,474344,474140,1017944,88,305018,18184,457152,2551,34280,775,7129,0,1046,102463,296518,1353,5784,44,15326,1558,1656,930,1038,8011,363,7260,171,223,84435,111356,53324,48807,4517,772,311,9140,3628,1571,4633,884
GALATI,2018,275685,274547,177788,1916,58620,3450,639398,614,7970,605,10403,7423,0,43743,147179,16470,29004,1450,86614,57350,34202,11075,18661,11405,1504,13042,468,2124,18023,173972,73863,71051,2812,3597,653,5743,1068,2998,231,869
TULCEA,2018,267195,272478,388001,310,91773,3613,430068,6300,6830,990,11873,0,0,61999,180811,11679,18219,672,11530,1740,13111,1787,4482,1555,830,7944,604,1850,24497,101655,36076,34930,1146,2110,428,531,135,192,37,37
VRANCEA,2018,122767,122767,106837,0,10629,9521,381769,172,640,434,26652,0,0,3421,15891,174,18726,990,14470,1602,2224,2601,7212,3895,655,9237,218,950,153624,159484,206598,163470,43128,12026,781,33940,565,3421,110,3020
ILFOV,2018,66769,65984,76811,0,15306,933,81913,4712,1045,80,4191,0,4,28478,23410,173,23664,5060,23747,3930,8265,6763,6920,2577,841,3627,489,614,28335,36967,4721,4721,0,606,320,849,750,959,236,24
BUCURESTI,2018,60,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,49,0,0,7,0,0,0,0,0,0,122,308,0,0,0,0,0,1,0,0,0,0
ARGES,2018,152748,152749,149807,130,15541,13709,436907,23470,174,82,29939,0,14150,9147,34794,363,17498,0,31994,1684,979,2082,2923,1136,459,8846,106,922,38570,175463,7618,7557,61,62020,8161,71617,1359,3348,148,2520
CALARASI,2018,409721,405385,719600,580,155011,4390,924439,1236,19810,229,434,0,10404,205987,146290,54919,2915,286,5620,587,2478,1010,945,2358,325,2354,360,411,54187,193847,15142,15142,0,886,610,659,247,179,169,223
DAMBOVITA,2018,164757,164443,117118,0,24190,14986,338944,6359,3055,298,42912,0,0,14960,28882,121,168368,1927,40302,9960,8426,10192,11682,17273,2114,15247,399,1109,61300,124942,1357,1345,12,85061,5639,60680,846,3004,355,1260
GIURGIU ,2018,240564,240276,410625,53,114707,1358,374286,17094,5491,226,2765,0,811,84443,81339,23775,21598,2957,30072,5105,4889,7502,7992,1020,2021,4323,1260,463,68723,228033,18794,17644,1150,2451,1038,4661,1619,2420,191,783
IALOMITA,2018,348178,346188,580541,206,87143,1477,779148,1273,19955,288,22,0,0,187367,121017,26494,13738,2820,9100,2378,46137,8472,20396,4235,569,4078,1099,803,29492,159283,12050,12001,49,236,53,843,366,294,88,66
PRAHOVA,2018,142403,141125,128080,0,15364,858,325727,554,55,36,21406,0,0,37963,31100,2475,14421,304,15437,2926,315,1636,3118,2400,959,4040,338,827,42881,103770,46980,45717,1263,30041,2766,50207,1462,3086,747,2202
TELEORMAN,2018,412416,410921,781749,318,103871,6114,494914,8713,8124,106,2754,0,2935,142477,228300,5393,24264,1043,22213,3716,18387,3800,3957,1251,2917,11781,550,749,82232,104044,26665,26657,8,1695,538,5563,1352,858,327,720
DOLJ,2018,482227,479503,906619,6173,136720,10416,661290,28334,12307,381,6640,0,13168,64682,204998,3542,42818,1200,43279,6311,157365,4275,8172,2623,3355,10492,580,2213,83290,211253,77864,76927,937,1645,883,6674,1097,2253,204,510
GORJ,2018,80141,80142,43936,0,2819,5225,364563,9966,347,301,41499,0,634,99,615,0,19027,0,9806,2857,0,2052,2736,5442,839,10947,501,2791,210,75556,17603,17603,0,8582,1578,39620,1369,2569,244,1845
MEHEDINTI,2018,144333,143666,221606,666,20438,8999,356178,5996,9155,612,9432,0,5881,23468,50357,102,22290,1058,7961,2388,16580,946,2440,1454,1821,10165,956,1502,150,49344,33669,33122,547,16433,2039,35384,1186,3857,347,1477
OLT,2018,368491,367047,733581,0,57989,9268,691534,21676,5489,347,10195,0,477,49784,174276,3156,37204,2346,37990,9745,41453,10804,14961,2561,2588,7748,996,918,27184,153793,31981,31635,346,6657,1173,41510,3847,3431,330,1143
VALCEA,2018,69663,69641,38955,0,1541,5025,288765,2058,0,258,38709,0,0,1953,4501,0,21491,400,13069,2896,129,2963,7029,2480,1067,7799,106,661,6743,109073,17699,15924,1775,35094,2398,64569,1186,2291,176,3097
ARAD,2018,339183,338505,390963,63,51023,65937,841249,30205,1118,93,19194,59794,26906,90453,126980,12873,51618,4507,46402,11251,23225,7933,13622,12650,3375,17635,1861,2610,64264,372625,14858,13877,981,5645,570,9730,252,1069,605,1138
CARAS_SEVERIN,2018,82725,82725,78005,502,5183,1055,120209,5103,67,2,69389,0,3134,11059,13816,5376,5022,30,5158,865,0,719,1132,2330,468,3312,224,280,18054,247012,4017,4017,0,16566,944,39575,369,1488,438,1432
HUNEDOARA,2018,49760,49748,33059,27,1858,109,120819,2357,65,49,93024,1139,54,714,896,631,16486,589,6545,3130,4,1947,3524,4571,1542,7730,226,2076,28116,174188,0,0,0,14085,1314,43769,247,1424,281,2234
TIMIS,2018,507536,506183,702361,3,33191,8981,1505730,20642,1340,234,21962,53086,20758,80251,204816,55336,58222,8869,28184,8679,25936,6712,9594,12309,2638,14359,832,1748,47941,591196,27328,25986,1342,8050,1115,18067,926,1692,1717,1174
BIHOR,2019,313792,313771,368122,1377,68414,23960,673447,2570,1466,409,67043,0,8158,33506,85048,14252,17103,4334,11283,4595,11288,5043,4777,5009,1011,4006,1202,2346,240949,682310,10886,10477,409,14323,1564,15959,1909,1678,5851,1648
BISTRITA_NASAUD,2019,59734,59734,13270,0,5830,6319,98633,793,0,9,67248,1557,7753,0,1648,348,11964,62,4645,1038,0,1194,931,2681,561,3575,6,561,110415,199684,1221,1191,30,30672,484,11397,12,1654,10,1121
CLUJ,2019,120318,119910,47064,377,42462,11564,255113,4640,535,665,114904,70731,4275,3731,15560,3844,30858,1157,15544,6208,656,1304,2252,11083,1466,9901,497,4357,139274,246048,1019,1015,4,8368,1134,11907,264,606,80,686
MARAMURES,2019,66404,66404,12356,0,2106,6802,87946,8918,0,234,162264,71,3042,24,3863,0,7707,72,3235,1177,0,893,1382,1853,778,2305,12,462,23630,361198,1033,1033,0,43719,2029,17162,36,2389,82,3608
SATU_MARE,2019,217127,217061,129015,448,21743,14832,537586,37139,748,195,25888,0,39252,38840,96728,23986,33289,2030,13021,6736,3657,6485,3542,4693,702,2474,487,1666,104225,201175,15739,15682,57,9812,1271,29064,528,3384,569,1753
SALAJ,2019,64100,64011,23761,3,5444,11669,116833,8208,139,8,84186,0,3457,502,12014,1929,10836,575,6154,2343,0,1226,2585,5527,1093,5958,211,1044,49686,134697,12098,12026,72,22207,1564,44547,528,1032,239,1671
ALBA,2019,119637,119465,66505,0,13309,3212,252750,8363,50,46,44683,19699,2071,2130,21723,1253,22244,208,18692,3719,129,2382,4074,12476,873,14130,109,1750,160585,378061,44862,44862,0,13057,1704,13100,636,1397,882,1731
BRASOV,2019,69514,69477,31120,1005,15189,1267,52253,7959,935,1,110861,82722,11544,5679,335,3403,3788,28,963,198,0,34,44,1065,33,2103,15,134,134960,340931,51,5,46,4419,541,4148,154,205,2,83
COVASNA,2019,84133,84127,96376,2551,18380,3083,69610,5512,206,109,269889,81395,7021,5022,973,929,21100,12,1123,521,0,10,15,2659,141,12612,22,86,88856,216839,0,0,0,3952,157,4252,2,496,0,738
HARGHITA,2019,53400,53399,33914,1823,15561,8519,14108,4706,0,0,146243,6946,1052,84,0,0,5328,0,355,28,0,0,*),2442,17,1959,9,9,85631,186413,0,0,0,5236,346,2913,0,226,2,221
MURES,2019,190549,190549,126888,328,23988,13596,497356,8471,386,200,86679,132733,4224,10241,23927,12872,24548,1302,17314,5712,2371,3316,6427,11742,1727,15625,696,1709,240538,747625,3927,3927,0,26537,1083,10199,165,1887,125,1577
SIBIU,2019,59715,59680,16731,244,3484,1591,137632,4551,211,55,50082,25596,2446,742,1454,639,16990,438,4019,2696,0,649,1205,3962,474,4873,173,490,93686,198838,663,656,7,9134,432,4642,15,428,38,266
BACAU,2019,159893,159845,59109,56,9057,4537,472844,1914,974,180,41300,4089,3399,7222,47328,1510,18089,363,14219,2048,799,1685,6468,4662,1517,12896,0,1398,78333,314911,24677,24645,32,8597,614,8302,496,2454,238,1701
BOTOSANI,2019,312881,312869,119720,1475,12530,20153,656634,555,1927,2566,114741,56951,5729,11210,158361,41779,27890,705,15690,4222,17587,2349,6008,5996,2317,9280,377,2702,169572,357417,11104,11009,95,11696,1185,8027,724,3159,92,1507
IASI,2019,240335,240276,146955,367,16881,8626,535020,1936,791,1483,61784,209408,15219,10606,106362,8850,29807,1755,28012,4819,22338,2817,4343,9809,1640,14336,662,2924,53387,332821,47407,45982,1425,12961,1984,11495,1379,8175,19,1924
NEAMT,2019,157659,157659,96646,1888,22549,12248,451612,5880,816,275,81926,146135,26935,10621,46317,7992,16349,500,9010,2291,616,1620,3694,4076,1245,7347,292,1593,45657,308525,3085,3085,0,13061,757,8868,195,2322,9,1169
SUCEAVA,2019,185705,184132,80461,5802,14266,17665,213450,9857,638,866,265555,29554,39064,6087,12022,7460,63148,1123,14703,8599,1208,4076,7947,9628,4575,25440,952,2698,244478,779693,0,0,0,30388,2596,9936,42,1676,0,2021
VASLUI,2019,219148,219119,141878,582,16263,3941,353625,240,976,491,10061,840,9668,17961,113778,614,19729,300,11894,2313,10019,1356,4334,1837,1033,6080,423,1589,53616,145973,70579,68586,1993,7180,793,4425,589,2878,69,1018
BRAILA,2019,396274,394578,361287,0,160837,4079,965404,1012,22491,389,1012,23433,0,20601,265713,57732,1826,17,4263,327,44923,1025,5449,1918,24,2425,166,26,67801,292745,13525,13496,29,1027,315,3778,1476,1060,199,727
BUZAU,2019,259342,259316,293264,107,42593,3886,783942,3622,3615,380,11778,0,756,28847,134113,4006,16762,616,22367,3001,32658,1816,4685,1183,1714,5952,85,402,15372,198287,86548,81815,4733,15443,2256,42172,1233,2996,838,2122
CONSTANTA,2019,476680,476631,862386,166,302735,17611,357400,2425,38762,619,5950,0,43,53577,230976,1641,5657,29,12756,1446,1481,696,991,8396,361,7325,166,218,60322,82562,46342,42969,3373,696,255,7490,2219,1331,2521,496
GALATI,2019,264595,264037,179454,64,57681,3226,491551,1034,11372,534,8617,2795,0,17476,141184,12902,25975,995,82286,48558,32600,10179,16101,10724,1349,13367,443,2373,16030,159403,60902,58996,1906,2698,579,3987,942,2473,199,807
TULCEA,2019,262833,260618,328759,368,81487,4123,182465,3152,8304,921,11330,0,103,15148,127084,8254,17377,536,11361,1712,12919,1738,4273,1570,813,7644,432,990,30857,100214,33002,31956,1046,1662,354,498,115,145,21,40
VRANCEA,2019,123306,123306,103193,1,14693,9026,268803,155,589,372,21841,0,3895,1237,19780,169,18550,792,14153,1643,1913,2430,6605,3404,622,9294,177,917,139918,149277,174532,140915,33617,11492,719,29764,513,2856,99,2778
ILFOV,2019,63494,63402,87661,20,15881,850,75520,4447,997,74,4011,0,0,15701,27886,239,19857,3665,21349,3237,6156,5947,5865,2519,822,3322,444,608,31099,36778,4266,4266,0,352,186,652,486,661,102,21
BUCURESTI,2019,60,49,0,0,0,0,0,0,0,0,0,0,11,0,0,0,335,0,30,0,0,0,0,0,0,0,0,0,124,304,0,0,0,0,0,0,0,0,0,0
ARGES,2019,159067,158768,205061,0,12811,11595,267646,26915,287,69,23203,0,9517,5927,52506,233,16780,0,31100,1617,835,2018,2858,1105,447,8328,103,270,30517,146851,3314,3223,91,26239,5263,36022,1259,2810,126,2337
CALARASI,2019,410297,408706,709792,20,169788,1273,999394,1536,41436,198,334,0,0,96165,107817,66086,2646,211,5429,1169,2271,1008,890,1679,321,2257,519,411,85575,200193,14244,14244,0,790,540,653,247,175,168,232
DAMBOVITA,2019,194615,194372,171781,0,27180,14846,330778,6702,5454,255,40597,0,751,11118,58492,52,160877,1716,36306,7853,8033,9029,10790,17718,2028,15210,373,982,61739,111758,1122,1110,12,50056,4465,45765,766,2521,236,1132
GIURGIU ,2019,250127,250091,416464,222,114947,1648,329835,12507,8212,213,2531,0,0,57687,91324,15548,19513,2596,27080,4469,4350,6540,7773,971,1905,4352,1114,421,59410,304804,15223,14260,963,2341,1008,3966,1310,2067,152,727
IALOMITA,2019,348476,348064,557566,0,91203,592,835269,505,14268,265,28,0,0,51606,134738,22318,13324,1515,18152,2032,49040,8321,17591,2298,552,3612,831,678,41547,138166,11725,11685,40,263,52,639,416,373,78,62
PRAHOVA,2019,142960,141819,182654,0,31422,1467,290357,2292,1360,30,21113,0,2632,17960,41886,2359,13238,219,14615,2440,253,1613,2979,2228,950,3903,334,815,45520,89562,34364,33369,995,19340,2361,44066,1231,2786,558,2141
TELEORMAN,2019,415967,413323,823526,0,118128,7436,565361,7467,11834,58,2156,0,0,58192,233509,2264,23763,577,23263,3553,14881,4441,3888,1226,2797,12062,533,877,79109,88800,23039,23030,9,1501,434,4820,1125,805,275,663
DOLJ,2019,513832,513328,894700,5975,131830,8946,615240,22649,23033,291,6052,0,5124,27712,332272,474,40428,908,42340,5808,140880,4006,7792,2375,3180,10208,576,1908,60021,172865,69319,68488,831,1623,840,6064,993,2211,236,468
GORJ,2019,80199,80199,35981,0,2812,5150,248307,8570,343,278,26577,0,5566,0,918,0,17105,0,8652,2782,42,1765,2486,4939,788,10809,470,2553,505,65105,13202,13202,0,8749,1376,34638,1306,2246,222,1730
MEHEDINTI,2019,146373,146129,206034,693,22863,9081,306762,5292,7848,546,8759,0,426,17681,60667,84,20154,782,7028,2269,14139,916,2311,1284,1783,9659,922,1352,1491,51231,26319,25912,407,15509,1689,31389,1111,3629,289,1381
OLT,2019,376632,375739,752687,0,66123,11049,492420,20019,9201,304,9878,0,0,23174,230908,3743,31887,1700,34432,8694,35706,9647,13643,2445,2533,7397,982,812,29389,216941,26677,26377,300,5296,879,38957,3253,2901,263,1044
VALCEA,2019,69326,69326,47750,0,1693,4860,261392,2264,3,191,32062,0,5888,1802,5114,0,19448,352,11929,2640,116,2902,6840,2410,961,7686,103,659,5821,81743,31270,29949,1321,26933,2179,60194,1066,2074,147,2773
ARAD,2019,345499,344944,367793,96,44491,56507,795066,30131,1868,86,17122,12056,2904,71162,208626,5512,47007,3600,32480,10792,20442,7534,12512,12027,3049,16723,1762,4084,60779,232622,13132,12356,776,4565,506,8461,213,959,355,1055
CARAS_SEVERIN,2019,77356,77356,82045,30,4067,1055,97498,7245,15,1,63072,0,47,5384,7793,6422,4580,20,4701,822,162,718,1052,2193,454,3247,222,273,5482,226990,3981,3981,0,13894,746,32965,321,1338,376,1324
HUNEDOARA,2019,49785,49776,31307,35,2094,102,104156,3752,71,42,81213,156,18624,586,1104,587,13689,460,6170,3016,4,1886,3229,4024,1502,7190,224,1910,35238,130367,0,0,0,9940,1178,31107,211,1187,231,1999
TIMIS,2019,500330,497938,735018,59,70148,9581,1726089,18093,1343,187,20842,10296,2664,43551,276105,59352,54297,7250,27283,8322,24472,6399,9038,11531,2588,13763,834,1649,65257,405782,23413,22311,1102,7568,850,16540,1165,1518,2097,1100
BIHOR,2020,311045,311020,369424,1364,37160,9750,601643,2675,1440,445,65505,0,8352,37735,72377,15327,18816,4216,9737,4387,11098,4745,4452,4872,1106,3829,1167,2352,223279,669560,7927,7372,555,13958,1437,14404,1773,1488,5584,1436
BISTRITA_NASAUD,2020,56872,56872,12684,27,4938,5062,85018,1566,0,8,83002,1071,5880,178,1101,139,12395,63,4214,974,1,1006,824,2561,569,3199,6,512,92948,197227,1847,1847,0,34656,895,12651,10,2150,8,1285
CLUJ,2020,119971,119694,36158,499,34327,6524,234627,3520,702,455,121489,52760,5496,3330,13837,5888,29934,984,14972,6897,480,1299,2085,10749,1487,9749,577,4194,137287,237617,1042,1038,4,7735,1012,11051,240,507,71,617
MARAMURES,2020,65341,65341,10523,0,1402,4413,77006,5826,0,167,121554,73,2668,0,2508,0,7882,90,3264,1158,0,854,1247,1706,724,2120,12,471,20348,327640,1057,1018,39,49862,2036,19151,25,2718,86,3684
SATU_MARE,2020,223514,223487,137878,902,15310,14451,511857,27997,639,209,22084,153,40176,40011,84159,26172,38498,3968,15706,6509,2984,6319,3453,4593,658,2448,532,1712,94332,178526,13463,13371,92,11547,1115,29633,455,3051,541,1640
SALAJ,2020,61790,61747,26905,9,4024,2480,113951,7714,722,8,92945,0,2212,1014,9303,3127,10393,515,5948,1894,0,1176,2073,5497,902,4687,218,1026,41881,123689,11963,11888,75,24015,1434,45505,503,1029,227,1456
ALBA,2020,119983,119638,50498,0,10113,3111,249762,10118,164,51,41652,39257,2179,3071,15361,1776,22332,266,18079,4569,115,2199,3391,9544,1926,13825,112,1799,148604,340065,38482,38482,0,11620,1553,12460,571,1213,775,1652
BRASOV,2020,67266,67129,33289,1006,11355,1713,43525,7061,726,1,61115,50137,11258,5574,199,4002,3775,25,963,176,0,32,30,1021,46,1694,12,131,135309,327652,46,0,46,11043,489,3661,123,186,2,76
COVASNA,2020,82037,82030,77273,2319,10634,1998,44007,3743,169,89,287409,63196,8342,4227,1032,1428,25555,0,1163,403,0,9,16,2097,127,12212,20,84,84944,187802,0,0,0,3800,143,3959,2,457,0,698
HARGHITA,2020,51491,51485,36453,1504,10896,4019,11893,3604,0,0,166004,5685,923,104,0,9,5773,0,400,27,0,0,44,2248,18,1813,8,7,80115,184831,0,0,0,4929,230,2579,0,205,1,211
MURES,2020,185500,185499,110987,349,21647,10932,497171,9722,264,200,86923,87883,4158,9507,21580,14827,22498,1189,17972,5213,2167,3286,6163,12181,1666,15369,5455,1706,245471,766129,4038,4038,0,27102,965,9187,147,1812,107,1477
SIBIU,2020,62786,62723,21234,137,3322,1019,130656,5167,50,47,63710,26241,13099,3686,1775,2493,16572,377,3898,2488,0,600,1173,3867,474,4796,169,476,72502,186468,261,261,0,8826,366,4164,14,355,52,245
BACAU,2020,162272,162263,58177,64,5024,3248,330964,1521,789,177,37088,4592,3490,7466,32904,2791,28877,461,19195,2663,744,1725,6205,4194,1670,12276,50,1383,78394,299972,22842,22812,30,8187,713,8444,476,2365,221,1582
BOTOSANI,2020,310368,309867,87977,1962,6482,5133,480796,289,346,1822,65222,51538,5685,10517,140314,32446,33131,635,13191,3954,14699,2292,5812,5033,3148,8125,375,2693,152648,330087,9034,8940,94,10960,1153,7544,660,2926,80,1433
IASI,2020,242058,240272,121669,221,11725,3395,225986,1106,1051,1312,42318,102041,11972,10703,65521,8711,29799,1527,25890,6027,28531,3862,8256,10145,2880,14238,732,3282,31644,310628,59405,58008,1397,12601,1870,10657,1290,7691,17,1798
NEAMT,2020,166955,166953,57029,1601,17458,4716,267849,4140,662,283,68117,143219,11613,14605,31044,5341,16838,474,9053,2483,416,1578,3527,3931,1247,7524,236,1422,34516,285127,3087,3087,0,15379,666,8598,180,2365,8,1154
SUCEAVA,2020,187546,186804,76188,6165,9748,14275,160224,8388,620,909,432200,39871,30429,8001,11184,7141,62007,1283,15533,8560,943,3920,9648,9470,4478,23714,1343,2067,230401,694416,0,0,0,32234,2563,10080,38,1779,0,1895
VASLUI,2020,223735,221293,97958,605,6952,2524,152675,96,500,368,11586,2159,4425,14297,78239,1688,18039,277,11958,2295,8484,1383,4303,1483,1003,6088,309,1546,47789,124292,69581,67629,1952,7003,685,4377,550,2701,65,936
BRAILA,2020,346144,325099,135521,0,68232,1557,449505,272,4478,340,635,4525,0,9701,128021,40712,1671,28,4079,272,43173,962,5351,1540,65,2312,63,29,15878,287367,9073,9040,33,1192,276,3506,1061,990,90,657
BUZAU,2020,282792,279369,100942,0,15387,1889,224136,875,4539,329,11253,0,753,22900,69502,5632,17661,603,26535,2622,30897,1604,3895,1197,1708,6569,91,420,13363,150420,85747,81410,4337,14857,2132,38938,1089,2678,671,1956
CONSTANTA,2020,488275,448320,191497,15,75128,6697,92815,1054,11233,301,3519,0,0,41889,100194,2647,5056,0,7939,1249,1240,607,905,5880,397,5999,227,241,32139,36021,38409,35762,2647,677,227,6792,2191,903,1960,1291
GALATI,2020,261604,229983,71715,36,21124,951,124984,377,4656,275,8839,4109,0,13677,74597,7075,26317,1972,80548,48085,34332,9683,16113,7731,1658,12566,497,1840,16691,63041,44834,42939,1895,2558,499,3655,866,2308,173,743
TULCEA,2020,246808,225649,135764,257,35353,1285,59948,448,4055,576,10006,0,96,20091,59712,4106,13883,379,9784,1802,6529,1410,4346,1871,773,5813,467,1468,25601,57381,30607,29640,967,1526,318,431,109,137,21,39
